Episode,Result,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,P1Hits,P2Hits
1,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerTrainingSkillPool,209,2030,0.19,0.00,0.96,4,5,13
2,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerHybridSurvivor,282,908,0.64,0.00,0.59,4,1,4
3,BossWin,54.5,BossMeleeAggro,PlayerCCDebuffer,PlayerHybridSurvivor,400,664,0.73,0.00,0.00,6,12,0
4,BossWin,35.8,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,400,555,0.78,0.00,0.00,6,2,5
5,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerCCDebuffer,200,1142,0.54,0.00,1.00,9,5,12
6,BossWin,40.5,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,400,560,0.78,0.00,0.00,7,2,3
7,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,237,1636,0.35,0.00,0.81,2,3,9
8,BossWin,46.2,BossTankSustain,PlayerTrainingSkillPool,PlayerTrainingSkillPool,400,739,0.70,0.00,0.00,4,10,2
9,BossWin,57.6,BossMeleeAggro,PlayerCCDebuffer,PlayerCCDebuffer,400,1022,0.59,0.00,0.00,7,2,10
10,BossWin,35.7,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,400,1348,0.46,0.00,0.00,3,6,6
11,BossWin,70.2,BossRangedZoner,PlayerCCDebuffer,PlayerCCDebuffer,400,1084,0.57,0.00,0.00,9,3,17
12,BossLose,56.2,BossTankSustain,PlayerMeleeBurst,PlayerTrainingSkillPool,79,2500,0.00,0.60,1.00,0,15,2
13,BossWin,30.4,BossMeleeAggro,PlayerHybridSurvivor,PlayerMeleeBurst,400,571,0.77,0.00,0.00,4,3,2
14,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,268,1337,0.47,0.00,0.66,2,0,8
15,BossLose,90.0,BossTankSustain,PlayerMeleeBurst,PlayerTrainingSkillPool,200,1706,0.32,0.00,1.00,0,11,11
16,BossWin,35.1,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,400,666,0.73,0.00,0.00,6,0,6
17,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerCCDebuffer,297,2299,0.08,0.52,0.00,3,23,12
18,BossWin,61.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerCCDebuffer,400,1500,0.40,0.00,0.00,6,2,13
19,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerMeleeBurst,122,1504,0.40,0.39,1.00,1,17,4
20,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerTrainingSkillPool,258,1607,0.36,0.00,0.71,3,2,12
21,BossLose,48.4,BossRangedZoner,PlayerMeleeBurst,PlayerTrainingSkillPool,4,2500,0.00,0.98,1.00,0,14,5
22,BossWin,54.5,BossMeleeAggro,PlayerTrainingSkillPool,PlayerHybridSurvivor,400,485,0.81,0.00,0.00,4,6,0
23,BossLose,83.2,BossTankSustain,PlayerHybridSurvivor,PlayerMeleeBurst,337,2500,0.00,0.32,0.00,1,16,3
24,BossLose,90.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerTrainingSkillPool,200,975,0.61,0.00,1.00,3,4,3
25,BossLose,52.2,BossRangedZoner,PlayerMeleeBurst,PlayerTrainingSkillPool,286,2500,0.00,0.00,0.57,3,14,6
26,BossWin,36.1,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,400,816,0.67,0.00,0.00,5,6,1
27,BossLose,90.0,BossMeleeAggro,PlayerTrainingSkillPool,PlayerHybridSurvivor,354,1234,0.51,0.00,0.23,6,7,0
28,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerTrainingSkillPool,200,1761,0.30,0.00,1.00,2,12,7
29,BossWin,30.1,BossMeleeAggro,PlayerMeleeBurst,PlayerCCDebuffer,400,666,0.73,0.00,0.00,4,2,3
30,BossWin,81.4,BossRangedZoner,PlayerTrainingSkillPool,PlayerCCDebuffer,400,1668,0.33,0.00,0.00,8,4,13
31,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,213,2332,0.07,0.00,0.94,3,9,5
32,BossLose,55.4,BossTankSustain,PlayerHybridSurvivor,PlayerTrainingSkillPool,150,2500,0.00,1.00,0.25,0,8,7
33,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,346,1422,0.43,0.00,0.27,5,2,16
34,BossLose,90.0,BossTankSustain,PlayerMeleeBurst,PlayerHybridSurvivor,239,2152,0.14,0.00,0.81,1,6,12
35,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerTrainingSkillPool,200,1635,0.35,0.00,1.00,2,10,5
36,BossWin,46.2,BossMeleeAggro,PlayerMeleeBurst,PlayerTrainingSkillPool,400,625,0.75,0.00,0.00,4,2,3
37,BossLose,90.0,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,200,1172,0.53,0.00,1.00,4,0,7
38,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerCCDebuffer,219,1772,0.29,0.00,0.90,1,2,16
39,BossLose,48.2,BossRangedZoner,PlayerMeleeBurst,PlayerTrainingSkillPool,196,2500,0.00,0.03,0.99,2,14,6
40,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerHybridSurvivor,309,2204,0.12,0.35,0.10,2,16,8
41,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,200,2118,0.15,0.00,1.00,3,9,13
42,BossWin,33.8,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,400,461,0.82,0.00,0.00,4,5,3
43,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerHybridSurvivor,320,1767,0.29,0.00,0.40,7,4,8
44,BossWin,60.3,BossRangedZoner,PlayerCCDebuffer,PlayerMeleeBurst,400,1593,0.36,0.00,0.00,6,3,9
45,BossWin,15.7,BossMeleeAggro,PlayerCCDebuffer,PlayerCCDebuffer,400,32,0.99,0.00,0.00,2,3,2
46,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerMeleeBurst,251,1991,0.20,0.00,0.74,1,6,11
47,BossLose,90.0,BossMeleeAggro,PlayerMeleeBurst,PlayerTrainingSkillPool,320,2022,0.19,0.00,0.40,6,6,7
48,BossWin,30.1,BossMeleeAggro,PlayerTrainingSkillPool,PlayerCCDebuffer,400,340,0.86,0.00,0.00,5,2,2
49,BossLose,90.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerHybridSurvivor,270,1516,0.39,0.00,0.65,4,0,10
50,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,328,590,0.76,0.00,0.36,6,3,2
51,BossLose,71.4,BossRangedZoner,PlayerTrainingSkillPool,PlayerHybridSurvivor,305,2500,0.00,0.00,0.47,3,9,8
52,BossLose,80.6,BossTankSustain,PlayerHybridSurvivor,PlayerCCDebuffer,200,2500,0.00,0.00,1.00,2,7,17
53,BossLose,71.1,BossTankSustain,PlayerCCDebuffer,PlayerHybridSurvivor,119,2500,0.00,0.41,1.00,0,16,7
54,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerTrainingSkillPool,255,2414,0.03,0.00,0.72,3,13,17
55,BossWin,80.3,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,400,1718,0.31,0.00,0.00,6,22,4
56,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,293,760,0.70,0.00,0.54,8,2,5
57,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,200,1330,0.47,0.00,1.00,2,8,2
58,BossWin,51.2,BossMeleeAggro,PlayerTrainingSkillPool,PlayerHybridSurvivor,400,1223,0.51,0.00,0.00,5,3,6
59,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,200,2473,0.01,0.00,1.00,3,16,12
60,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,209,1411,0.44,0.00,0.95,2,8,4
61,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerCCDebuffer,223,2319,0.07,0.00,0.88,6,8,16
62,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerHybridSurvivor,36,1981,0.21,1.00,0.82,1,21,2
63,BossWin,75.6,BossMeleeAggro,PlayerCCDebuffer,PlayerHybridSurvivor,400,1487,0.41,0.00,0.00,8,8,4
64,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerTrainingSkillPool,182,1719,0.31,0.09,1.00,1,21,5
65,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,274,1733,0.31,0.00,0.63,4,2,21
66,BossWin,60.6,BossMeleeAggro,PlayerCCDebuffer,PlayerMeleeBurst,400,1002,0.60,0.00,0.00,4,0,7
67,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,208,1947,0.22,0.00,0.96,0,4,18
68,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerCCDebuffer,310,1824,0.27,0.00,0.45,5,4,13
69,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,200,654,0.74,0.00,1.00,2,5,2
70,BossLose,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerMeleeBurst,320,499,0.80,0.00,0.40,4,0,6
71,BossLose,50.2,BossRangedZoner,PlayerTrainingSkillPool,PlayerTrainingSkillPool,203,2500,0.00,0.00,0.98,3,11,8
72,BossLose,90.0,BossMeleeAggro,PlayerMeleeBurst,PlayerTrainingSkillPool,200,2179,0.13,0.00,1.00,3,9,7
73,BossLose,90.0,BossTankSustain,PlayerHybridSurvivor,PlayerMeleeBurst,288,2209,0.12,0.00,0.56,4,4,12
74,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerTrainingSkillPool,95,1507,0.40,0.55,0.97,0,12,9
75,BossLose,90.0,BossRangedZoner,PlayerCCDebuffer,PlayerCCDebuffer,318,1355,0.46,0.00,0.41,4,5,14
76,BossLose,90.0,BossRangedZoner,PlayerTrainingSkillPool,PlayerTrainingSkillPool,226,1604,0.36,0.00,0.87,6,2,11
77,BossLose,90.0,BossTankSustain,PlayerTrainingSkillPool,PlayerHybridSurvivor,209,727,0.71,0.00,0.96,2,4,3
78,BossLose,90.0,BossRangedZoner,PlayerMeleeBurst,PlayerHybridSurvivor,266,1703,0.32,0.00,0.67,6,7,5
79,BossWin,38.5,BossMeleeAggro,PlayerCCDebuffer,PlayerHybridSurvivor,400,618,0.75,0.00,0.00,4,9,1
80,BossLose,90.0,BossTankSustain,PlayerCCDebuffer,PlayerCCDebuffer,200,1718,0.31,0.00,1.00,2,5,17
81,BossWin,80.1,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,400,1236,0.51,0.00,0.00,4,5,6
